Hospital_Name,Location,Location_Coordinates,State,District,Discipline_Systems_of_Medicine,Lat,Lon
"Alchemist Hospital, Panchkula",Sector 21,"30.6747384, 76.8634479",Haryana,Panchkula,Allopathic,30.6747384,76.8634479
Chakravarty Nursing Home,"207, Sector 10","30.6898813, 76.8483677",Haryana,Panchkula,Allopathic,30.6898813,76.8483677
Chakravarty Polyclinics,"208, Sector-10","30.6898813, 76.8483677",Haryana,Panchkula,Allopathic,30.6898813,76.8483677
Drishti Eye Hospital,"SCO-26, Sector-11","30.6864116, 76.8533575",Haryana,Panchkula,Allopathic,30.6864116,76.8533575
Shri Ram Hospital,"1187, Sector 11, Near Main Bus Stand","23.216719, 72.6421769",Haryana,Panchkula,Allopathic,23.216719,72.6421769
Phoenix Hospital,"SCO 8, Sector 16","30.6918894, 76.8370739",Haryana,Panchkula,"Allopathic, Ayush/ Ayurveda/ Naturopathy",30.6918894,76.8370739
"ESI Hospital, Panipat",ESIC Building,"29.3909464, 76.9635023",Haryana,Panipat,Allopathic,29.3909464,76.9635023
Madaan Hospital,"Assandh Road, Model Town
","29.3942309, 76.9467794",Haryana,Panipat,Allopathic,29.3942309,76.9467794
"Ravindra Hospital
","638, Model Town","29.388958, 76.9599852",Haryana,Panipat,Allopathic,29.388958,76.9599852
Dr. G.C.Gupta Hospital,"372-373, Huda Sec-2","29.3909464, 76.9635023",Haryana,Panipat,Allopathic,29.3909464,76.9635023
"Eye-Q Super Speciality Eye Hospitals, Rewari","Garhi Bolini Chowk, Circular Road","28.1940591, 76.621356",Haryana,Rewari,Allopathic,28.1940591,76.621356
Apex Health Care and Apex Hospital and Trauma Centre,"Plot No 5, Sector 6, Dharuhera","28.2142461, 76.7985669",Haryana,Rewari,Allopathic,28.2142461,76.7985669
Arora Nursing Home,"Near Guru Chowk, Model Town
","31.3084431, 75.5658979",Haryana,Rewari,Allopathic,31.3084431,75.5658979
"Arora Nursing Home
","Near Guru Chowk, Model Town","31.3084431, 75.5658979",Haryana,Rewari,Allopathic,31.3084431,75.5658979
Dr.Gogias Super Speciality Dental Care Centre,"Delhi Road, 101, Opposite Liberty Theatre, Subhash Naga","28.6139391, 77.2090212",Haryana,Rohtak,Allopathic,28.6139391,77.2090212
"Eye-Q Super Speciality Eye Hospitals, Rohtak","Makroli House, Sonipat Road","28.8958259, 76.6022492",Haryana,Rohtak,Allopathic,28.8958259,76.6022492
"Ishwar Eye Centre
","926, Vijay Park (Jhang Colony)","28.893931, 76.602983",Haryana,Rohtak,Allopathic,28.893931,76.602983
Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences,Rohtak,"28.8955152, 76.606611",Haryana,Rohtak,Allopathic,28.8955152,76.606611
"Shanti Maternity and Nursing Home
","Jind Bypass Chowk, Jind Road, Jind Road","29.3211153, 76.3058328",Haryana,Rohtak,Allopathic,29.3211153,76.3058328
Shri Baba Mast Nath Charitable Hospital,Asthal Bohar,"28.8580845, 76.6297232",Haryana,Rohtak,Allopathic,28.8580845,76.6297232
Gaur Brahman Ayurvedic College,Brahmanwas-,"28.8955152, 76.606611",Haryana,Rohtak,Ayush/ Ayurveda,28.8955152,76.606611
Apex Hospital,Circular Road,"29.5335931, 75.0177029",Haryana,Sirsa,Allopathic,29.5335931,75.0177029
Neeraj Hospital,"Shiv Chowk, Circular Road","29.4671562, 77.7039176",Haryana,Sirsa,Allopathic,29.4671562,77.7039176
Sangwan Nursing Home,"Sangwan Chowk, N.H -10","43.1938516, -71.5723953",Haryana,Sirsa,Allopathic,43.1938516,-71.5723953
Mata Shanti Devi Institute of Nursing,Sirsa,"29.5335931, 75.0177029",Haryana,Sirsa,Allopathic,29.5335931,75.0177029
Dr. Praveen Eye Hospital and Research Centre,Under Railway over bridge,"9.9818176, 76.2983614",Haryana,Sirsa,Allopathic,9.9818176,76.2983614
Bansal Nursing Home,Valmiki Chowk,"29.5335931, 75.0177029",Haryana,Sirsa,Allopathic,29.5335931,75.0177029
Bagla Eye Hospital and Laser Centre,"Color Road, Mandi Dabwali","29.9671034, 74.7001328",Haryana,Sirsa,Allopathic,29.9671034,74.7001328
"Poojaneeya Mata Aas kaur Ji Ayurvedic Hospital
","Near Shah Satnam ji, Dham, Sirsa","29.5335931, 75.0177029",Haryana,Sirsa,Ayush/ Ayurveda,29.5335931,75.0177029
Mool Chand Jain Hospital,"Namaste Chowk, Ganaur","29.1349669, 77.0180345",Haryana,Sonipat,Allopathic,29.1349669,77.0180345
"BPS GovernmentMedical College, Khanpur Kalan",Sonepat,"28.9287735, 77.091281",Haryana,Sonipat,Allopathic,28.9287735,77.091281
"ESI Hospital, Jagadiri","ESIC Building, Jagadiri, Yamunanagar 
","30.1290485, 77.2673901",Haryana,Yamunanagar,Allopathic,30.1290485,77.2673901
"Eye-Q Super Speciality Eye Hospitals, Yamunanagar","Near Sapphire Hotel
","30.1290485, 77.2673901",Haryana,Yamunanagar,Allopathic,30.1290485,77.2673901
Jindal Hospital,"Sector-17, Huda, Jagadhari","30.1522754, 77.3008506",Haryana,Yamunanagar,Allopathic,30.1522754,77.3008506
Ayurvedic Hospital,Rampur,"31.4492451, 77.6298122",Himachal Pradesh,Shimla,Ayush/ Ayurveda,31.4492451,77.6298122
Ayurvedic Hospital,Rohru,"31.2045526, 77.7523608",Himachal Pradesh,Shimla,Ayush/ Ayurveda,31.2045526,77.7523608
Civil Hospital,Rohru Shimla,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Civil Hospital,Chopal,"30.9478979, 77.5901243",Himachal Pradesh,Shimla,Allopathic,30.9478979,77.5901243
Civil Hospital,Jubbal,"31.1116916, 77.6664976",Himachal Pradesh,Shimla,Allopathic,31.1116916,77.6664976
Civil Hospital,Junga,"31.0240057, 77.1916497",Himachal Pradesh,Shimla,Allopathic,31.0240057,77.1916497
Civil Hospital,Kotgarh,"31.3113704, 77.4744889",Himachal Pradesh,Shimla,Allopathic,31.3113704,77.4744889
Civil Hospital,Nerwa,"30.9190232, 77.6424486",Himachal Pradesh,Shimla,Allopathic,30.9190232,77.6424486
Civil Hospital,Theog,"31.1260995, 77.3524522",Himachal Pradesh,Shimla,Allopathic,31.1260995,77.3524522
Community Health Centre,"Nankhri, Shimla","31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Community Health Centre,Chirgaon,"31.2373257, 77.8738864",Himachal Pradesh,Shimla,Allopathic,31.2373257,77.8738864
Community Health Centre,Kumarsain,"31.3182709, 77.4458151",Himachal Pradesh,Shimla,Allopathic,31.3182709,77.4458151
Community Health Centre,Suni,"31.2422245, 77.1221405",Himachal Pradesh,Shimla,Allopathic,31.2422245,77.1221405
Community Health Centre,"Kotkhai, Shimla","31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
DDU Hospital,Shimla,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Indira Gandhi Medical Collage,Shimla,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Indus Hospital,"Nav Bahar, Shimla","31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
JNS Eye Care Centre,"Neelkunj, North Oak Sanjauli Shimla","31.1050849, 77.1923685",Himachal Pradesh,Shimla,Allopathic,31.1050849,77.1923685
KNH Shimla,Shimla,"31.0927056, 77.1773458",Himachal Pradesh,Shimla,Allopathic,31.0927056,77.1773458
MGMSCKHNERI,"Khneri, Rampur","31.4492451, 77.6298122",Himachal Pradesh,Shimla,Allopathic,31.4492451,77.6298122
Primary Health Centre,Mashobra,"31.1296226, 77.2283453",Himachal Pradesh,Shimla,Allopathic,31.1296226,77.2283453
Vyas Hospital,Bilaspur,"31.3594562, 76.7472294",Himachal Pradesh,Bilaspur,Allopathic,31.3594562,76.7472294
Rainbow Hospital,Ghumarwin,"31.4491451, 76.7047904",Himachal Pradesh,Bilaspur,Allopathic,31.4491451,76.7047904
Ayurvedic Hospital,KANDRAUR,"22.0796251, 82.1391412",Himachal Pradesh,Bilaspur,Ayush/ Ayurveda,22.0796251,82.1391412
Civil Hospital,GHUMARWIN,"31.4491451, 76.7047904",Himachal Pradesh,Bilaspur,Allopathic,31.4491451,76.7047904
Community Health Centre,MARKANDA,"22.0796251, 82.1391412",Himachal Pradesh,Bilaspur,Allopathic,22.0796251,82.1391412
Community Health Centre,Bhareri,"31.4981518, 76.7563347",Himachal Pradesh,Bilaspur,Allopathic,31.4981518,76.7563347
Community Health Centre,BARTHIN,"22.0796251, 82.1391412",Himachal Pradesh,Bilaspur,Allopathic,22.0796251,82.1391412
Community Health Centre,JHANDUTTA,"22.0796251, 82.1391412",Himachal Pradesh,Bilaspur,Allopathic,22.0796251,82.1391412
Community Health Centre,NAINA DEVI,"31.3064166, 76.5358173",Himachal Pradesh,Bilaspur,Allopathic,31.3064166,76.5358173
Ayurvedic Hospital,Bilaspur,"31.3429426, 76.7625073",Himachal Pradesh,Bilaspur,Ayush/ Ayurveda,31.3429426,76.7625073
Regional Hospital,Bilaspur,"31.3429426, 76.7625073",Himachal Pradesh,Bilaspur,Allopathic,31.3429426,76.7625073
Ayurvedic Hospital,Bharmour,"32.442849, 76.5329269",Himachal Pradesh,Chamba,Ayush/ Ayurveda,32.442849,76.5329269
Civil Hospital,"Subhash Chowk Rd, Moti Tiba","32.5352395, 75.9671164",Himachal Pradesh,Chamba,Allopathic,32.5352395,75.9671164
Civil Hospital,Tissa,"32.5447632, 75.943557",Himachal Pradesh,Chamba,Allopathic,32.5447632,75.943557
Community Health Centre,BHARMOUR,"32.442849, 76.5329269",Himachal Pradesh,Chamba,Allopathic,32.442849,76.5329269
Community Health Centre,HOLI,"32.3307407, 76.5502682",Himachal Pradesh,Chamba,Allopathic,32.3307407,76.5502682
Community Health Centre,Kihar,"32.4871571, 75.9408807",Himachal Pradesh,Chamba,Allopathic,32.4871571,75.9408807
Community Health Centre,Killar,"33.0840737, 76.4071336",Himachal Pradesh,Chamba,Allopathic,33.0840737,76.4071336
Community Health Centre,Purthi,"32.9151619, 76.4664307",Himachal Pradesh,Chamba,Allopathic,32.9151619,76.4664307
Community Health Centre,Saluni,"32.7363886, 76.0290366",Himachal Pradesh,Chamba,Allopathic,32.7363886,76.0290366
District Ayurvedic Hospital,Chamba,"32.5681863, 76.1208512",Himachal Pradesh,Chamba,Ayush/ Ayurveda,32.5681863,76.1208512
Primary Health Centre,Kakira,"32.4559116, 75.9343484",Himachal Pradesh,Chamba,Allopathic,32.4559116,75.9343484
Primary Health Centre,Purthi,"32.9151619, 76.4664307",Himachal Pradesh,Chamba,Allopathic,32.9151619,76.4664307
Referral Hospital,CHOWARI,"32.4311794, 76.0130784",Himachal Pradesh,Chamba,Allopathic,32.4311794,76.0130784
Regional Hospital,Hamirpur,"31.7612361, 76.4103088",Himachal Pradesh,Hamirpur,Allopathic,31.7612361,76.4103088
Regional Hospital,Chamba,"32.5533633, 76.1258083",Himachal Pradesh,Chamba,Allopathic,32.5533633,76.1258083
Ayurvedic Hospital,Kadiar,"31.7823639, 76.6358719",Himachal Pradesh,Hamirpur,Ayush/ Ayurveda,31.7823639,76.6358719
Civil Hospital,Tauni Devi,"31.7143781, 76.5972223",Himachal Pradesh,Hamirpur,Allopathic,31.7143781,76.5972223
Community Health Centre,BARSAR,"31.5255129, 76.4606468",Himachal Pradesh,Hamirpur,Allopathic,31.5255129,76.4606468
Community Health Centre,Nadaun,"31.7785034, 76.3444587",Himachal Pradesh,Hamirpur,Allopathic,31.7785034,76.3444587
Community Health Centre,Bhoranj,"31.6429515, 76.6427152",Himachal Pradesh,Hamirpur,Allopathic,31.6429515,76.6427152
Community Health Centre,Bhoranj,"31.6429515, 76.6427152",Himachal Pradesh,Hamirpur,Allopathic,31.6429515,76.6427152
Community Health Centre,Galore,"31.6853708, 76.5155834",Himachal Pradesh,Hamirpur,Allopathic,31.6853708,76.5155834
Community Health Centre,Sujanpur Tira,"31.833859, 76.5054652",Himachal Pradesh,Hamirpur,Allopathic,31.833859,76.5054652
DistrictAyurvedic Hospital,Hamirpur,"31.6861745, 76.5213092",Himachal Pradesh,Hamirpur,Ayush/ Ayurveda,31.6861745,76.5213092
Jain Muni Ayurvedic Manvi Hospital,"Manvi, Hamirpur","31.6861745, 76.5213092",Himachal Pradesh,Hamirpur,Ayush/ Ayurveda,31.6861745,76.5213092
Regional Hospital,Hamirpur,"31.6861745, 76.5213092",Himachal Pradesh,Hamirpur,Allopathic,31.6861745,76.5213092
Dr.Rajendra Prasad Government Medical College,"Kangra Chamunda, Bye Pass, 
NH - 20","32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Fortis Hospital,"Kangra Dharamshala Road
","32.1795436, 76.3228661",Himachal Pradesh,Kangra,Allopathic,32.1795436,76.3228661
Ayurvedic College Hospital,Paprola,"32.0528329, 76.6340511",Himachal Pradesh,Kangra,Ayush/ Ayurveda,32.0528329,76.6340511
Ayurvedic Hospital,DEHRA,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Ayush/ Ayurveda,32.0998031,76.2691006
Ayurvedic Hospital,Harsar,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Ayush/ Ayurveda,32.0998031,76.2691006
Civil Hospital,THURAL,"31.9244395, 76.4584777",Himachal Pradesh,Kangra,Allopathic,31.9244395,76.4584777
Civil Hospital,KANGRA,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Civil Hospital,Baijnath,"32.0521085, 76.6492869",Himachal Pradesh,Kangra,Allopathic,32.0521085,76.6492869
Civil Hospital,Dehra,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Civil Hospital,Nurpur,"32.3001342, 75.8853465",Himachal Pradesh,Kangra,Allopathic,32.3001342,75.8853465
Civil Hospital,Palampur,"32.1077955, 76.5348237",Himachal Pradesh,Kangra,Allopathic,32.1077955,76.5348237
Community Health Centre,Bhawarna,"32.0397936, 76.4996831",Himachal Pradesh,Kangra,Allopathic,32.0397936,76.4996831
Community Health Centre,Dada Siba,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Community Health Centre,Fatehpur,"32.1955777, 76.3564929",Himachal Pradesh,Kangra,Allopathic,32.1955777,76.3564929
Community Health Centre,Indora,"32.1346319, 75.6891699",Himachal Pradesh,Kangra,Allopathic,32.1346319,75.6891699
Community Health Centre,Jawalamukhi,"31.8752372, 76.3203091",Himachal Pradesh,Kangra,Allopathic,31.8752372,76.3203091
Community Health Centre,Jawali,"32.1458134, 76.0114788",Himachal Pradesh,Kangra,Allopathic,32.1458134,76.0114788
Community Health Centre,Kotkhai,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Community Health Centre,Nagrota Bagwan,"32.1053971, 76.3789037",Himachal Pradesh,Kangra,Allopathic,32.1053971,76.3789037
Community Health Centre,Nagrota Surian,"32.0550942, 76.0928511",Himachal Pradesh,Kangra,Allopathic,32.0550942,76.0928511
Community Health Centre,Nankhari,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
Community Health Centre,Shahpur,"32.2197295, 76.1728373",Himachal Pradesh,Kangra,Allopathic,32.2197295,76.1728373
Community Health Centre,Chadiyar,"32.0998031, 76.2691006",Himachal Pradesh,Kangra,Allopathic,32.0998031,76.2691006
DistrictAyurvedic Hospital,Dharmshala,"32.219042, 76.3234037",Himachal Pradesh,Kangra,Ayush/ Ayurveda,32.219042,76.3234037
Dr.RPMC Hospital,"Tanda, Kangra","31.6509576, 78.4751945",Himachal Pradesh,Kangra,Allopathic,31.6509576,78.4751945
Halder kola Ayurvedic Hospital,Kangra,"31.6509576, 78.4751945",Himachal Pradesh,Kangra,Ayush/ Ayurveda,31.6509576,78.4751945
Primary Health Centre,Gopalpur,"31.6509576, 78.4751945",Himachal Pradesh,Kinnaur,Allopathic,31.6509576,78.4751945
Shree Balaji Hospital,"NH 88, Adarsh Colony, Kangra","32.1135971, 76.2807758",Himachal Pradesh,Kangra,Allopathic,32.1135971,76.2807758
Zonal Hospital,Dharamsala,"31.6509576, 78.4751945",Himachal Pradesh,Kinnaur,Allopathic,31.6509576,78.4751945
Community Health Centre,Sangla,"31.4254859, 78.2649956",Himachal Pradesh,Kinnaur,Allopathic,31.4254859,78.2649956
Community Health Centre,Pooh,"31.7640211, 78.5902143",Himachal Pradesh,Kinnaur,Allopathic,31.7640211,78.5902143
DistrictAyurvedic,Reckong Peo,"31.5390437, 78.2675478",Himachal Pradesh,Kinnaur,Ayush/ Ayurveda,31.5390437,78.2675478
Primary Health Centre,Nichar,"31.5581415, 77.9467371",Himachal Pradesh,Kinnaur,Allopathic,31.5581415,77.9467371
Project Hospital,Bhavanagar,"31.6509576, 78.4751945",Himachal Pradesh,Kinnaur,Allopathic,31.6509576,78.4751945
Regional Hospital,Reckong Peo,"31.5390437, 78.2675478",Himachal Pradesh,Kinnaur,Allopathic,31.5390437,78.2675478
Sri Harihar Hospital and Research Centre,Near GovernmentCollage The Mall Dhalpur,"23.7250083, 90.4053026",Himachal Pradesh,Kullu,Allopathic,23.7250083,90.4053026
Lady Willngdon Hospital,Manali,"32.2396325, 77.1887145",Himachal Pradesh,Kullu,Allopathic,32.2396325,77.1887145
"Ayurvedic Hospital, Katrai",Kullu,"31.957851, 77.1094597",Himachal Pradesh,Kullu,Ayush/ Ayurveda,31.957851,77.1094597
Civil Hospital,Jari,"31.9995469, 77.2476997",Himachal Pradesh,Kullu,Allopathic,31.9995469,77.2476997
Civil Hospital,Kullu,"31.957851, 77.1094597",Himachal Pradesh,Kullu,Allopathic,31.957851,77.1094597
Civil Hospital,Manali,"32.2396325, 77.1887145",Himachal Pradesh,Kullu,Allopathic,32.2396325,77.1887145
Civil Hospital,Nirmand,"31.4225306, 77.5762703",Himachal Pradesh,Kullu,Allopathic,31.4225306,77.5762703
Community Health Centre,Dalash,"31.3859048, 77.4329048",Himachal Pradesh,Kullu,Allopathic,31.3859048,77.4329048
Community Health Centre,Kaza,"32.2275991, 78.0709903",Himachal Pradesh,Lahaul and Spiti,Allopathic,32.2275991,78.0709903
Community Health Centre,Udaypur,"32.6192107, 77.3783789",Himachal Pradesh,Lahaul and Spiti,Allopathic,32.6192107,77.3783789
Community Health Centre,"SH 26, Shansha","32.6161802, 76.9034408",Himachal Pradesh,Lahaul and Spiti,Allopathic,32.6161802,76.9034408
DistrictAyurvedic Hospital,Keylong,"32.5709987, 77.0319784",Himachal Pradesh,Lahaul and Spiti,Ayush/ Ayurveda,32.5709987,77.0319784
Primary Health Centre,Tabo,"32.0932586, 78.3856447",Himachal Pradesh,Lahaul and Spiti,Allopathic,32.0932586,78.3856447
Regional Hospital,Keylong,"32.5709987, 77.0319784",Himachal Pradesh,Lahaul and Spiti,Allopathic,32.5709987,77.0319784
Niramay Clinic,"Hospital road, Post office Mandi","17.3475489, 78.506413",Himachal Pradesh,Mandi,Allopathic,17.3475489,78.506413
Ayurvedic Hospital,Joginder nagar,"31.9912388, 76.7899135",Himachal Pradesh,Mandi,Ayush/ Ayurveda,31.9912388,76.7899135
Civil Hospital,Joginder nagar,"31.9912388, 76.7899135",Himachal Pradesh,Mandi,Allopathic,31.9912388,76.7899135
Civil Hospital,Karsog,"31.3813366, 77.2045867",Himachal Pradesh,Mandi,Allopathic,31.3813366,77.2045867
DistrictAyurvedic Hospital,Mandi,"31.7081655, 76.9313675",Himachal Pradesh,Mandi,Ayush/ Ayurveda,31.7081655,76.9313675
Neta Ji Subhash Chander Bose Zonal Hospital,Mandi,"31.7081655, 76.9313675",Himachal Pradesh,Mandi,Allopathic,31.7081655,76.9313675
Primary Health Centre,DhaRampur,"31.8029903, 76.7603434",Himachal Pradesh,Mandi,Allopathic,31.8029903,76.7603434
Primary Health Centre,Kotli,"31.7574335, 76.8728167",Himachal Pradesh,Mandi,Allopathic,31.7574335,76.8728167
Primary Health Centre,Ratti,"31.6007676, 76.9081238",Himachal Pradesh,Mandi,Allopathic,31.6007676,76.9081238
Primary Health Centre,Rewalsar,"31.6321926, 76.8331743",Himachal Pradesh,Mandi,Allopathic,31.6321926,76.8331743
Referal Hospital,Sarkaghat,"31.6989558, 76.7324084",Himachal Pradesh,Mandi,Allopathic,31.6989558,76.7324084
Indira Gandhi Medical College and Hospital,Indira Gandhi Medical College,"11.9472547, 79.7896601",Himachal Pradesh,Shimla,Allopathic,11.9472547,79.7896601
Goel Eye Clinic,"30, Lakkar bazar","31.1058233, 77.1787114",Himachal Pradesh,Shimla,Allopathic,31.1058233,77.1787114
Dr.Lakhanpaul Nursing Home Dental Speciality Centre,"Top Floor-63, Lower Bazar","23.311436, 85.317204",Himachal Pradesh,Shimla,Allopathic,23.311436,85.317204
Inder Dental Clinic,Sanjouli,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Goel Dental Clinic,Lakkar Bazar,"31.1058233, 77.1787114",Himachal Pradesh,Shimla,Allopathic,31.1058233,77.1787114
Abhinav Dental Clinic,Chhotta,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Patient Care Clinic,BCS Market New Shimla,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Nirmal Clinical,"Inder Place Market Near
Sanjauli Chowk Shimla","31.1038132, 77.1929875",Himachal Pradesh,Shimla,Allopathic,31.1038132,77.1929875
Vidya Clinic,79/1 Lower Bazar Shimla,"31.103468, 77.1757122",Himachal Pradesh,Shimla,Allopathic,31.103468,77.1757122
Vijay Clinic,Khalini Chowk,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Shimla Gyane Centre,Bondary Chhota,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Lions Grewal Eye Institute,"459, Sector-4, Phase-II, New Shimla","31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Dr.Jitender Eye Hospital,74 The mall,"31.1071394, 77.1708039",Himachal Pradesh,Shimla,Allopathic,31.1071394,77.1708039
Medicare Lab and Ultrasound Centre,Himland,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Grover Dental Clinic,The Mall,"31.1071394, 77.1708039",Himachal Pradesh,Shimla,Allopathic,31.1071394,77.1708039
Aastha Hospital,Panthaghati,"31.0679382, 77.180149",Himachal Pradesh,Shimla,Allopathic,31.0679382,77.180149
Maria Clinic,The Mall,"31.1071394, 77.1708039",Himachal Pradesh,Shimla,Allopathic,31.1071394,77.1708039
Shri Ram Medical Centre,The Mall,"31.1071394, 77.1708039",Himachal Pradesh,Shimla,Allopathic,31.1071394,77.1708039
Regional Ayurvedic Hospital,Chotta Shimla Kasumpti Road,"31.0869735, 77.1801916",Himachal Pradesh,Shimla,Ayush/ Ayurveda,31.0869735,77.1801916
Gastroentrology Endoscopy Centre,Lakkar Bazar Near IGMC,"31.1065156, 77.1816614",Himachal Pradesh,Shimla,Allopathic,31.1065156,77.1816614
Shimla Sanitorium Hospital,"Chora Maidan, Shimla","31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Sri Ram Hospital,18-D Sec-1 New Shimla,"31.1048145, 77.1734033",Himachal Pradesh,Shimla,Allopathic,31.1048145,77.1734033
Civil Hospital,Sarahan,"30.7258579, 77.1854543",Himachal Pradesh,Sirmaur,Allopathic,30.7258579,77.1854543
Civil Hospital,Rajgarh,"30.849989, 77.2994144",Himachal Pradesh,Sirmaur,Allopathic,30.849989,77.2994144
Community Health Centre,Shillai,"30.6748131, 77.7065754",Himachal Pradesh,Sirmaur,Allopathic,30.6748131,77.7065754
Community Health Centre,Sangrah,"30.6957312, 77.4257319",Himachal Pradesh,Sirmaur,Allopathic,30.6957312,77.4257319
DistrictAyurvedic Hospital,Nahan,"30.5599327, 77.295483",Himachal Pradesh,Sirmaur,Ayush/ Ayurveda,30.5599327,77.295483
Primary Health Centre,Naura Dhar,"30.8784866, 77.2008209",Himachal Pradesh,Sirmaur,Allopathic,30.8784866,77.2008209
Referral Hospital,Dadahu,"30.6010337, 77.4381946",Himachal Pradesh,Sirmaur,Allopathic,30.6010337,77.4381946
Referral Hospital,Nahan,"30.5599327, 77.295483",Himachal Pradesh,Sirmaur,Allopathic,30.5599327,77.295483
Puran Hospital,"Rampur Ghat Road, Paonta sahib","30.4441645, 77.6349041",Himachal Pradesh,Sirmaur,Allopathic,30.4441645,77.6349041
Pawar Nursing Home,Paonta Sahib,"30.445283, 77.6020569",Himachal Pradesh,Sirmaur,Allopathic,30.445283,77.6020569
Himachal Institute of Dental Sciences,Paonta Sahib,"30.445283, 77.6020569",Himachal Pradesh,Sirmaur,Allopathic,30.445283,77.6020569
Sneh Hospital,Kala Amb,"30.4992306, 77.2070259",Himachal Pradesh,Sirmaur,Allopathic,30.4992306,77.2070259
Malan Nursing Home,Tank Road,"30.9081066, 77.1093549",Himachal Pradesh,Solan,Allopathic,30.9081066,77.1093549
Aggarwal Eye Hospital,Rajgarh Road,"30.892449, 77.1056296",Himachal Pradesh,Solan,Allopathic,30.892449,77.1056296
Bhojia General Hospital,Buddh Baddi,"30.9578258, 76.7913558",Himachal Pradesh,Solan,Allopathic,30.9578258,76.7913558
City Hospital,Rajgarh Road,"30.892449, 77.1056296",Himachal Pradesh,Solan,Allopathic,30.892449,77.1056296
JP Hospital and Paediatric Centre,Hospital Road,"30.9067042, 77.1075578",Himachal Pradesh,Solan,Allopathic,30.9067042,77.1075578
Aakash Hospital,Nalagarh,"31.0445587, 76.7047904",Himachal Pradesh,Solan,Allopathic,31.0445587,76.7047904
Ayurvedic Hospital,Nalagarh,"31.0445587, 76.7047904",Himachal Pradesh,Solan,Ayush/ Ayurveda,31.0445587,76.7047904
Civil Hospital,Chail,"30.9676214, 77.1916497",Himachal Pradesh,Solan,Allopathic,30.9676214,77.1916497
Civil Hospital,Arki,"31.1562331, 76.9686717",Himachal Pradesh,Solan,Allopathic,31.1562331,76.9686717
Civil Hospital,Kandaghat,"30.9702143, 77.1053673",Himachal Pradesh,Solan,Allopathic,30.9702143,77.1053673
Community Health Centre,DhaRampur,"30.8994362, 77.0190228",Himachal Pradesh,Solan,Allopathic,30.8994362,77.0190228
Community Health Centre,Nalagarh,"31.0445587, 76.7047904",Himachal Pradesh,Solan,Allopathic,31.0445587,76.7047904
E.S.I.Hospital,Parwanoo,"30.8371639, 76.9614255",Himachal Pradesh,Solan,Allopathic,30.8371639,76.9614255
Primary Health Centre,Darlaghat,"31.2372527, 76.9354979",Himachal Pradesh,Solan,Allopathic,31.2372527,76.9354979
Primary Health Centre,Kunihar,"31.0795387, 76.9614255",Himachal Pradesh,Solan,Allopathic,31.0795387,76.9614255
Regional Hospital,Solan,"30.9044857, 77.0967357",Himachal Pradesh,Solan,Allopathic,30.9044857,77.0967357
"Anandraj Malik Hospital and Diagnostic Centre
",Mehatpur,"31.4078164, 76.3434679",Himachal Pradesh,Una,Allopathic,31.4078164,76.3434679
"Ayurvedic Hospital, Ispur",una,"31.468445, 76.2707745",Himachal Pradesh,Una,Ayush/ Ayurveda,31.468445,76.2707745
Civil Hospital,Chintpurni,"31.8054391, 76.1044506",Himachal Pradesh,Una,Allopathic,31.8054391,76.1044506
Community Health Centre,Amb,"31.6798005, 76.1174988",Himachal Pradesh,Una,Allopathic,31.6798005,76.1174988
Community Health Centre,Bangana,"31.613824, 76.3579401",Himachal Pradesh,Una,Allopathic,31.613824,76.3579401
